placemark,lat,lon
233,31.897859,120.542517
234,31.89803,120.541559
235,31.900788,120.538529
236,31.900422,120.539735
237,31.901751,120.539407
238,31.903356,120.539719
239,31.901037,120.541683
240,31.899815,120.541226
241,31.900257,120.541452
242,31.90069,120.543211
243,31.899545,120.54277
244,31.900258,120.543808
245,31.900938,120.544179
246,31.899494,120.544336
247,31.898837,120.544007
248,31.899929,120.545299
249,31.898616,120.544589
250,31.898339,120.545202
251,31.899654,120.546488
252,31.899002,120.546197
253,31.898122,120.545794
254,31.899619,120.54709
255,31.898807,120.546735
256,31.898114,120.546429
257,31.899442,120.54772
258,31.898694,120.547349
259,31.897997,120.547101
260,31.899541,120.548962
261,31.898555,120.549038
262,31.899157,120.548443
263,31.899057,120.548809
264,31.89923,120.549605
265,31.902188,120.548279
266,31.902053,120.549059
267,31.907143,120.540768
268,31.907044,120.541338
269,31.906509,120.542107
270,31.907033,120.54235
271,31.905468,120.545064
272,31.906017,120.545153
273,31.905602,120.545979
274,31.906017,120.546151
275,31.905759,120.547031
276,31.905657,120.547461
277,31.904834,120.547746
278,31.905136,120.548599
279,31.905948,120.548203
280,31.905835,120.548744
281,31.905722,120.549188
282,31.905605,120.549744
283,31.904798,120.550498
284,31.905365,120.550586
285,31.905093,120.551216
286,31.904958,120.551794
